,State,Maths %,Science %
87389,KL,55.17,56.79
80027,KL,55.17,57.82
87385,KL,55.17,54.73
84657,KL,55.17,55.76
87221,KL,55.18,21.82
80687,KL,55.22,21.82
87132,KL,55.27,21.82
84103,KL,55.32,21.82
81355,KL,55.36,20.37
80585,KL,55.41,20.37
82699,KL,55.45,20.37
80748,KL,55.5,20.37
85121,KL,55.55,20.37
84197,KL,55.59,20.37
79736,KL,55.64,20.37
87433,KL,55.69,20.37
82926,KL,55.73,20.37
79370,KL,55.78,20.37
87313,KL,55.82,20.37
87230,KL,55.87,20.37
82467,KL,55.92,20.37
83290,KL,55.96,20.37
81894,KL,56.01,20.0
85014,KL,56.05,20.0
79048,KL,56.1,20.0
87316,KL,56.15,20.0
80699,KL,56.19,20.0
85354,KL,56.24,20.0
87101,KL,56.29,20.0
86616,KL,56.33,20.0
83314,KL,56.38,18.52
82863,KL,56.42,18.52
82456,KL,56.47,18.52
80286,KL,56.52,18.52
81695,KL,56.56,18.52
82867,KL,56.61,18.52
80462,KL,56.65,18.52
85146,KL,56.7,18.18
82248,KL,56.75,18.18
87160,KL,56.79,18.18
87097,KL,56.84,18.18
80667,KL,56.89,18.18
83838,KL,56.9,53.7
85367,KL,56.9,53.7
85869,KL,56.9,53.7
79251,KL,56.9,53.7
78981,KL,56.93,18.18
79571,KL,56.98,18.18
87109,KL,57.02,18.18
81938,KL,57.07,16.67
81918,KL,57.12,16.67
81862,KL,57.16,16.67
80354,KL,57.21,16.67
85275,KL,57.25,16.67
82954,KL,57.3,16.67
82482,KL,57.35,16.67
81347,KL,57.39,16.67
84930,KL,57.44,16.67
82436,KL,57.49,16.67
83017,KL,57.53,16.36
87436,KL,57.58,16.36
85262,KL,57.62,16.36
83581,KL,57.67,16.36
81331,KL,57.72,14.81
79546,KL,57.76,14.81
82962,KL,57.81,14.81
87464,KL,57.85,14.81
85117,KL,57.9,14.81
84922,KL,57.95,14.81
87429,KL,57.99,14.55
80294,KL,58.04,14.55
79463,KL,58.09,14.55
79358,KL,58.13,14.55
80496,KL,58.18,14.55
78966,KL,58.22,14.55
79160,KL,58.27,14.55
83501,KL,58.32,14.55
84909,KL,58.36,14.55
85362,KL,58.41,14.55
81521,KL,58.46,12.96
85066,KL,58.5,12.73
84789,KL,58.55,12.73
83186,KL,58.59,11.11
87392,KL,58.62,53.7
81357,KL,58.62,53.7
87396,KL,58.62,53.7
79436,KL,58.64,10.91
79396,KL,58.69,9.26
79168,KL,58.73,9.09
80299,KL,58.78,7.41
87308,KL,58.82,5.45
84307,KL,58.87,0.0
84507,KL,58.92,8.86
85893,KL,58.96,17.73
84529,KL,59.01,26.59
83987,KL,59.06,35.46
83991,KL,59.1,44.32
80002,KL,59.15,53.18
83373,KL,59.19,62.05
84112,KL,59.24,70.91
85389,KL,59.29,55.56
81488,KL,59.33,27.27
83645,KL,59.38,35.28
84525,KL,59.42,43.29
83563,KL,59.47,51.3
84505,KL,59.52,59.3
83477,KL,59.56,67.31
86577,KL,59.61,75.32
86508,KL,59.66,83.33
86881,KL,59.7,64.81
84119,KL,59.75,58.18
84114,KL,59.79,48.15
78961,KL,59.84,42.59
85566,KL,59.89,44.6
85569,KL,59.93,46.6
85565,KL,59.98,48.61
83551,KL,60.02,50.62
78853,KL,60.07,52.62
83723,KL,60.12,54.63
83549,KL,60.16,56.64
79693,KL,60.21,58.64
84173,KL,60.26,60.65
86612,KL,60.3,62.66
86019,KL,60.34,53.7
81262,KL,60.34,53.7
85988,KL,60.34,54.32
81294,KL,60.34,53.7
79245,KL,60.34,53.7
82341,KL,60.34,53.7
86609,KL,60.35,64.66
86821,KL,60.39,66.67
85990,KL,60.44,55.56
85399,KL,60.49,47.27
87039,KL,60.53,21.82
83559,KL,60.58,25.2
86125,KL,60.62,28.57
78858,KL,60.67,31.95
86355,KL,60.72,35.33
85901,KL,60.76,38.7
79011,KL,60.81,42.08
83487,KL,60.86,45.46
86576,KL,60.9,48.83
85916,KL,60.95,52.21
80498,KL,60.99,55.58
79064,KL,61.04,58.96
79646,KL,61.09,62.34
84184,KL,61.13,65.71
79313,KL,61.18,69.09
86817,KL,61.23,68.52
86820,KL,61.27,61.82
86813,KL,61.32,61.11
84118,KL,61.36,56.36
86818,KL,61.41,54.55
86880,KL,61.46,52.73
86511,KL,61.5,43.64
86872,KL,61.55,29.09
84108,KL,61.59,18.18
79202,KL,61.64,24.51
86592,KL,61.69,30.84
79009,KL,61.73,37.17
83636,KL,61.78,43.5
84523,KL,61.83,49.83
83999,KL,61.87,56.16
83331,KL,61.92,62.49
85701,KL,61.96,68.82
83615,KL,62.01,75.15
85989,KL,62.06,81.48
80028,KL,62.07,54.94
86967,KL,62.1,65.45
86456,KL,62.15,64.81
86816,KL,62.19,61.82
86729,KL,62.24,55.56
87200,KL,62.29,53.7
86822,KL,62.33,52.73
82430,KL,62.38,42.59
86959,KL,62.43,36.36
84255,KL,62.47,23.64
83651,KL,62.52,21.82
85628,KL,62.56,26.4
83496,KL,62.61,30.98
79226,KL,62.66,35.57
83719,KL,62.7,40.15
78998,KL,62.75,44.73
84527,KL,62.79,49.31
86591,KL,62.84,53.89
84182,KL,62.89,58.47
79023,KL,62.93,63.06
83732,KL,62.98,67.64
86719,KL,63.03,72.22
86876,KL,63.07,54.55
86515,KL,63.12,43.64
87199,KL,63.16,41.82
86715,KL,63.21,40.74
86601,KL,63.26,38.89
82814,KL,63.3,27.27
79709,KL,63.35,28.68
84002,KL,63.39,30.1
83329,KL,63.44,31.51
83478,KL,63.49,32.93
85892,KL,63.53,34.34
85699,KL,63.58,35.76
78891,KL,63.63,37.17
86184,KL,63.67,38.59
84177,KL,63.72,40.0
84171,KL,63.76,41.42
80035,KL,63.79,55.56
84481,KL,63.79,56.17
83746,KL,63.81,42.83
84004,KL,63.86,44.24
84165,KL,63.9,45.66
84029,KL,63.95,47.07
84186,KL,64.0,48.49
83993,KL,64.04,49.9
78896,KL,64.09,51.32
83730,KL,64.13,52.73
85573,KL,64.18,54.15
85366,KL,64.23,55.56
86814,KL,64.27,43.64
86507,KL,64.32,43.64
85383,KL,64.36,43.64
86584,KL,64.41,38.18
87195,KL,64.46,32.73
85373,KL,64.5,31.48
87203,KL,64.55,30.91
79319,KL,64.6,30.91
82810,KL,64.64,21.82
80975,KL,64.69,25.27
79696,KL,64.73,28.73
82659,KL,64.78,32.18
83995,KL,64.83,35.64
82132,KL,64.87,39.09
79701,KL,64.92,42.54
79339,KL,64.96,46.0
83439,KL,65.01,49.45
83814,KL,65.06,52.91
86812,KL,65.1,56.36
85379,KL,65.15,52.73
86873,KL,65.2,48.15
86516,KL,65.24,48.15
78913,KL,65.29,44.44
79700,KL,65.33,44.84
79336,KL,65.38,45.23
86600,KL,65.43,45.63
84163,KL,65.47,46.03
83464,KL,65.52,46.43
86020,KL,65.52,59.87
79201,KL,65.52,64.81
79291,KL,65.52,57.41
79297,KL,65.52,56.79
83630,KL,65.56,46.82
84159,KL,65.61,47.22
79692,KL,65.66,47.62
78996,KL,65.7,48.01
79335,KL,65.75,48.41
86348,KL,65.8,48.81
80979,KL,65.84,49.21
85607,KL,65.89,49.6
85558,KL,65.93,50.0
82092,KL,65.98,40.0
86503,KL,66.03,30.91
86613,KL,66.07,25.45
79705,KL,66.12,27.97
79063,KL,66.16,30.49
86347,KL,66.21,33.02
83740,KL,66.26,35.54
80505,KL,66.3,38.06
79072,KL,66.35,40.58
81571,KL,66.4,43.11
86250,KL,66.44,45.63
86823,KL,66.49,48.15
86604,KL,66.53,48.15
87207,KL,66.58,47.27
85987,KL,66.63,34.55
80506,KL,66.67,40.32
83603,KL,66.72,46.08
80573,KL,66.77,51.85
85992,KL,66.81,47.27
87208,KL,66.86,40.74
82433,KL,66.9,34.55
86728,KL,66.95,29.09
85630,KL,67.0,31.02
86141,KL,67.04,32.95
86596,KL,67.09,34.88
80509,KL,67.13,36.8
83506,KL,67.18,38.73
83613,KL,67.23,40.66
87048,KL,67.27,42.59
86815,KL,67.32,38.89
85950,KL,67.37,29.63
87036,KL,67.41,27.78
85900,KL,67.46,30.93
85626,KL,67.5,34.08
86107,KL,67.55,37.22
86363,KL,67.6,40.37
79287,KL,67.64,43.52
84157,KL,67.69,46.67
83365,KL,67.73,49.82
84161,KL,67.78,52.96
84188,KL,67.83,56.11
86968,KL,67.87,59.26
86960,KL,67.92,55.56
86877,KL,67.97,40.74
87204,KL,68.01,38.89
83652,KL,68.06,33.33
86582,KL,68.1,32.73
86328,KL,68.15,29.63
86121,KL,68.2,30.98
79697,KL,68.24,32.34
86589,KL,68.29,33.69
85553,KL,68.33,35.05
83725,KL,68.38,36.4
86213,KL,68.43,37.76
82260,KL,68.47,39.11
78890,KL,68.52,40.47
86724,KL,68.57,41.82
87044,KL,68.61,33.33
81710,KL,68.66,32.73
80978,KL,68.7,34.55
79222,KL,68.75,36.37
84314,KL,68.8,38.18
84167,KL,68.84,40.0
83601,KL,68.89,41.82
85368,KL,68.93,43.64
80033,KL,68.97,54.94
86725,KL,68.98,35.19
84116,KL,69.03,31.48
86955,KL,69.07,29.09
86714,KL,69.12,25.45
78886,KL,69.17,27.35
79071,KL,69.21,29.26
80510,KL,69.26,31.16
83707,KL,69.3,33.07
79123,KL,69.35,34.97
83727,KL,69.4,36.88
86597,KL,69.44,38.78
83916,KL,69.49,40.69
82426,KL,69.54,42.59
87191,KL,69.58,40.0
78825,KL,69.63,35.19
86458,KL,69.67,31.48
79315,KL,69.72,29.63
86885,KL,69.77,27.78
87047,KL,69.81,23.64
86606,KL,69.86,25.23
82136,KL,69.9,26.82
85671,KL,69.95,28.41
84169,KL,70.0,30.0
85883,KL,70.04,31.59
79146,KL,70.09,33.18
86260,KL,70.14,34.77
86963,KL,70.18,36.36
85984,KL,70.23,32.73
78829,KL,70.27,31.48
86459,KL,70.32,29.09
86013,KL,70.37,29.09
79317,KL,70.41,27.27
83666,KL,70.46,25.45
80216,KL,70.5,26.33
86603,KL,70.55,27.2
86002,KL,70.6,28.08
83721,KL,70.64,28.95
79982,KL,70.69,29.83
79353,KL,70.69,50.0
80034,KL,70.69,45.06
79750,KL,70.74,30.7
85612,KL,70.78,31.58
83705,KL,70.83,32.45
86927,KL,70.87,33.33
86929,KL,70.92,31.48
83669,KL,70.97,16.67
79989,KL,71.01,18.19
83462,KL,71.06,19.72
86127,KL,71.1,21.24
85909,KL,71.15,22.77
82124,KL,71.2,24.29
83709,KL,71.24,25.82
83701,KL,71.29,27.34
86216,KL,71.34,28.87
79994,KL,71.38,30.39
79472,KL,71.43,31.92
86214,KL,71.47,33.44
86183,KL,71.52,34.97
86104,KL,71.57,36.49
83989,KL,71.61,38.02
78889,KL,71.66,39.54
86257,KL,71.7,41.07
86919,KL,71.75,42.59
86916,KL,71.8,40.74
86718,KL,71.84,36.36
83660,KL,71.89,35.19
86952,KL,71.94,33.33
86520,KL,71.98,29.63
86457,KL,72.03,27.27
82695,KL,72.07,25.93
78828,KL,72.12,21.82
86888,KL,72.17,20.0
86461,KL,72.21,16.36
80513,KL,72.26,18.55
80663,KL,72.31,20.73
83703,KL,72.35,22.92
78999,KL,72.4,25.1
79367,KL,72.41,40.12
83643,KL,72.44,27.29
86244,KL,72.49,29.48
86339,KL,72.54,31.66
85882,KL,72.58,33.85
86222,KL,72.63,36.03
85546,KL,72.67,38.22
82015,KL,72.72,40.4
79619,KL,72.77,42.59
83657,KL,72.81,31.48
78841,KL,72.86,24.07
83667,KL,72.91,23.64
85674,KL,72.95,24.91
83985,KL,73.0,26.18
86189,KL,73.04,27.46
79953,KL,73.09,28.73
86215,KL,73.14,30.0
83628,KL,73.18,31.27
86611,KL,73.23,32.54
81691,KL,73.27,33.82
83742,KL,73.32,35.09
80691,KL,73.37,36.36
86926,KL,73.41,35.19
86889,KL,73.46,35.19
86249,KL,73.51,32.73
79621,KL,73.55,32.73
83659,KL,73.6,29.09
87040,KL,73.64,27.78
85562,KL,73.69,25.93
83664,KL,73.74,22.22
86956,KL,73.78,20.37
86023,KL,73.83,20.0
86921,KL,73.87,16.67
86190,KL,73.92,20.61
81343,KL,73.97,24.55
84175,KL,74.01,28.48
78888,KL,74.06,32.42
83658,KL,74.11,36.36
80570,KL,74.14,35.18
87192,KL,74.15,35.19
86819,KL,74.2,33.33
81865,KL,74.24,32.73
82453,KL,74.29,18.18
79121,KL,74.34,19.7
79510,KL,74.38,21.21
86605,KL,74.43,22.72
86364,KL,74.47,24.24
86254,KL,74.52,25.76
86199,KL,74.57,27.27
86356,KL,74.61,28.78
85908,KL,74.66,30.3
86221,KL,74.71,31.82
79040,KL,74.75,33.33
79227,KL,74.8,34.84
85995,KL,74.84,36.36
82438,KL,74.89,29.63
86011,KL,74.94,29.09
79629,KL,74.98,27.27
78824,KL,75.03,16.36
87236,KL,75.08,19.75
82255,KL,75.12,23.15
86231,KL,75.17,26.54
83997,KL,75.21,29.94
85982,KL,75.26,33.33
86017,KL,75.31,30.91
87196,KL,75.35,22.22
86884,KL,75.4,9.09
80367,KL,75.44,14.7
79223,KL,75.49,20.32
86460,KL,75.54,25.93
78840,KL,75.58,21.82
86462,KL,75.63,5.56
86123,KL,75.68,10.5
79749,KL,75.72,15.44
86340,KL,75.77,20.37
87046,KL,75.81,25.31
80026,KL,75.86,30.25
109107,MG,1.67,55.06
106688,MG,1.67,19.64
106265,MG,1.67,26.79
107794,MG,5.19,76.36
107738,MG,5.3,71.43
107755,MG,5.41,71.43
108008,MG,5.52,70.91
107741,MG,5.63,70.91
106452,MG,5.74,63.64
107632,MG,5.85,60.71
106947,MG,5.96,60.0
106925,MG,6.07,60.0
107405,MG,6.18,60.0
109294,MG,6.29,58.18
109096,MG,6.4,57.14
106975,MG,6.51,56.36
107562,MG,6.62,56.36
108322,MG,6.73,55.36
107756,MG,6.84,54.55
105951,MG,6.95,54.55
106930,MG,7.06,53.57
107919,MG,7.17,53.57
108285,MG,7.28,53.57
107793,MG,7.39,53.57
106927,MG,7.5,52.73
108012,MG,7.61,52.73
108288,MG,7.72,52.73
108334,MG,7.83,51.79
106948,MG,7.94,51.79
108561,MG,8.05,51.79
107798,MG,8.16,50.91
107367,MG,8.27,50.91
106249,MG,8.33,23.21
107192,MG,8.33,23.66
107795,MG,8.38,49.09
106206,MG,8.47,24.1
107940,MG,8.49,49.09
109214,MG,8.6,48.21
108326,MG,8.71,48.21
107847,MG,8.82,48.21
108721,MG,8.93,47.27
107804,MG,9.04,47.27
108055,MG,9.15,47.27
107802,MG,9.26,47.27
108286,MG,9.37,47.27
107400,MG,9.48,47.27
106843,MG,9.59,47.27
108161,MG,9.7,46.43
107368,MG,9.81,46.43
108463,MG,9.92,46.43
106816,MG,10.0,24.55
106250,MG,10.0,25.0
108510,MG,10.0,28.11
107336,MG,10.0,31.21
106022,MG,10.0,34.32
109250,MG,10.03,46.43
108496,MG,10.14,45.45
106474,MG,10.17,43.64
109036,MG,10.17,37.43
107670,MG,10.17,40.53
107642,MG,10.25,45.45
109172,MG,10.36,45.45
108051,MG,10.47,45.45
105910,MG,10.58,45.45
108184,MG,10.69,45.45
107616,MG,10.8,44.64
107799,MG,10.91,44.64
107671,MG,11.02,44.64
107797,MG,11.13,44.64
108674,MG,11.24,44.64
108457,MG,11.35,44.64
107561,MG,11.46,44.64
105965,MG,11.57,44.64
106642,MG,11.67,39.09
106511,MG,11.67,30.0
109223,MG,11.67,34.54
107730,MG,11.68,44.64
106731,MG,11.79,44.64
106455,MG,11.86,22.41
106258,MG,11.86,25.45
108866,MG,11.86,23.93
108747,MG,11.86,24.69
108860,MG,11.86,23.17
107617,MG,11.9,43.64
107743,MG,12.01,43.64
108354,MG,12.12,43.64
108284,MG,12.23,43.64
109174,MG,12.34,43.64
107679,MG,12.45,42.86
109173,MG,12.56,42.86
108282,MG,12.67,42.86
105966,MG,12.78,42.86
105961,MG,12.89,42.86
108287,MG,13.0,42.86
106616,MG,13.11,42.86
107844,MG,13.22,41.82
109054,MG,13.33,41.82
106832,MG,13.33,21.66
108623,MG,13.33,20.9
106189,MG,13.33,20.14
107206,MG,13.33,32.05
106019,MG,13.33,32.73
107689,MG,13.33,19.38
105894,MG,13.33,17.86
107776,MG,13.33,18.62
108844,MG,13.44,41.82
108281,MG,13.55,41.82
105761,MG,13.56,31.36
108908,MG,13.56,27.27
108739,MG,13.56,30.68
108164,MG,13.56,30.0
108267,MG,13.56,29.32
109335,MG,13.56,28.64
108452,MG,13.56,27.95
109225,MG,13.66,41.82
107800,MG,13.77,41.82
106640,MG,13.88,41.82
105955,MG,13.99,41.82
108973,MG,14.1,41.07
106444,MG,14.21,41.07
108664,MG,14.32,41.07
108283,MG,14.43,41.07
109176,MG,14.54,41.07
108557,MG,14.65,41.07
107667,MG,14.76,41.07
105866,MG,14.87,41.07
107041,MG,14.98,41.07
106259,MG,15.0,30.36
108175,MG,15.0,28.29
106522,MG,15.0,28.98
105934,MG,15.0,29.67
107366,MG,15.0,27.6
107356,MG,15.0,45.98
107354,MG,15.0,43.75
108781,MG,15.0,24.83
107077,MG,15.0,25.53
106404,MG,15.0,26.22
106401,MG,15.0,26.91
109217,MG,15.0,23.45
107397,MG,15.0,24.14
107214,MG,15.0,41.52
108157,MG,15.0,22.76
106366,MG,15.0,39.29
105877,MG,15.0,30.36
108615,MG,15.0,26.79
106784,MG,15.0,22.07
109233,MG,15.0,20.0
108771,MG,15.0,20.69
107891,MG,15.0,21.38
107834,MG,15.09,40.0
107917,MG,15.2,40.0
106107,MG,15.25,48.22
106684,MG,15.25,50.45
106091,MG,15.25,52.68
105944,MG,15.25,54.91
106345,MG,15.25,57.14
107019,MG,15.25,59.37
107540,MG,15.25,61.61
107342,MG,15.25,29.73
106154,MG,15.25,30.32
108651,MG,15.25,63.84
105669,MG,15.25,66.07
107262,MG,15.25,30.91
106980,MG,15.25,48.49
107833,MG,15.31,40.0
108509,MG,15.42,40.0
109352,MG,15.53,40.0
108395,MG,15.64,40.0
108843,MG,15.75,39.29
108708,MG,15.86,39.29
108357,MG,15.97,39.29
107829,MG,16.08,39.29
106236,MG,16.19,39.29
107935,MG,16.3,39.29
108501,MG,16.41,38.18
106761,MG,16.52,38.18
108500,MG,16.63,38.18
107137,MG,16.67,27.56
107156,MG,16.67,27.9
108270,MG,16.67,27.38
107681,MG,16.67,27.97
107239,MG,16.67,28.56
106090,MG,16.67,29.14
107199,MG,16.67,28.24
108779,MG,16.67,24.64
108519,MG,16.67,25.36
106094,MG,16.67,26.07
106267,MG,16.67,26.79
109276,MG,16.67,28.57
107685,MG,16.67,23.2
106788,MG,16.67,23.92
106638,MG,16.67,26.79
108459,MG,16.67,21.77
108455,MG,16.67,22.48
106481,MG,16.67,23.21
108766,MG,16.67,21.05
106036,MG,16.67,18.18
106057,MG,16.67,19.62
105775,MG,16.67,20.33
106106,MG,16.67,18.9
108276,MG,16.74,38.18
107684,MG,16.85,38.18
107548,MG,16.95,27.23
106598,MG,16.95,26.9
107333,MG,16.95,32.58
107203,MG,16.95,32.51
108191,MG,16.95,26.56
107119,MG,16.95,32.44
107123,MG,16.95,32.36
108150,MG,16.95,25.89
107789,MG,16.95,26.22
106500,MG,16.95,32.29
107215,MG,16.95,32.21
108797,MG,16.95,25.56
109292,MG,16.95,25.22
106083,MG,16.95,32.14
108921,MG,16.95,24.88
106051,MG,16.95,23.21
108706,MG,16.95,24.55
105985,MG,16.95,23.21
109340,MG,16.95,23.88
105774,MG,16.95,24.22
109241,MG,16.95,23.54
107396,MG,16.96,38.18
108197,MG,17.07,38.18
108745,MG,17.18,38.18
107790,MG,17.29,37.5
107832,MG,17.4,37.5
109053,MG,17.51,37.5
109337,MG,17.62,37.5
108495,MG,17.73,37.5
107916,MG,17.84,37.5
108704,MG,17.95,37.5
108280,MG,18.06,37.5
106328,MG,18.17,37.5
109334,MG,18.28,37.5
107559,MG,18.33,32.66
107051,MG,18.33,37.82
106131,MG,18.33,32.73
105666,MG,18.33,23.21
106102,MG,18.33,23.66
108324,MG,18.33,24.11
108717,MG,18.33,41.82
107914,MG,18.33,24.56
106721,MG,18.33,25.01
108949,MG,18.33,25.47
106828,MG,18.33,25.92
106961,MG,18.33,26.79
108514,MG,18.33,26.37
109095,MG,18.33,26.82
109118,MG,18.33,26.66
106122,MG,18.33,27.27
107979,MG,18.33,25.45
108648,MG,18.33,26.06
108859,MG,18.33,24.85
107361,MG,18.33,25.45
106040,MG,18.33,21.82
108979,MG,18.33,23.03
108654,MG,18.33,23.64
107975,MG,18.33,24.24
106685,MG,18.33,22.43
108508,MG,18.39,37.5
107399,MG,18.5,37.5
107237,MG,18.61,37.5
106770,MG,18.64,33.82
107068,MG,18.64,29.82
107193,MG,18.64,33.91
108574,MG,18.64,25.82
106247,MG,18.64,21.82
106095,MG,18.64,21.94
107674,MG,18.64,22.06
107327,MG,18.64,35.33
106103,MG,18.64,22.18
106766,MG,18.64,22.31
108714,MG,18.64,22.43
106497,MG,18.64,36.76
108743,MG,18.64,22.55
106286,MG,18.64,22.67
107463,MG,18.64,22.79
109218,MG,18.64,38.18
107980,MG,18.64,22.91
107894,MG,18.64,23.03
108710,MG,18.64,23.15
108772,MG,18.64,23.28
106812,MG,18.64,23.64
106327,MG,18.64,23.4
108194,MG,18.64,23.52
108011,MG,18.72,37.5
108513,MG,18.83,36.36
108042,MG,18.94,36.36
107425,MG,19.05,36.36
106709,MG,19.16,36.36
108044,MG,19.27,36.36
107736,MG,19.38,36.36
107010,MG,19.49,36.36
107791,MG,19.6,36.36
107731,MG,19.71,36.36
107513,MG,19.82,36.36
107458,MG,19.93,35.71
108171,MG,20.0,32.48
106151,MG,20.0,33.71
107114,MG,20.0,35.28
108849,MG,20.0,31.06
108316,MG,20.0,28.21
105808,MG,20.0,29.64
105874,MG,20.0,36.86
107122,MG,20.0,38.43
108023,MG,20.0,26.12
106802,MG,20.0,26.34
106769,MG,20.0,26.57
106532,MG,20.0,26.79
105709,MG,20.0,40.0
107983,MG,20.0,25.67
107039,MG,20.0,25.9
106804,MG,20.0,35.71
105892,MG,20.0,33.93
108975,MG,20.0,25.0
107669,MG,20.0,25.22
105820,MG,20.0,25.45
108941,MG,20.0,24.55
106714,MG,20.0,24.78
105989,MG,20.0,32.73
109349,MG,20.0,24.33
105763,MG,20.0,32.14
108611,MG,20.0,30.36
109122,MG,20.0,24.1
106378,MG,20.0,27.27
107653,MG,20.0,23.66
107243,MG,20.0,23.88
106324,MG,20.0,23.21
106285,MG,20.0,23.43
108720,MG,20.04,35.71
108437,MG,20.15,35.71
108007,MG,20.26,35.71
106246,MG,20.34,32.14
107115,MG,20.34,37.72
106098,MG,20.34,30.8
108776,MG,20.34,28.12
107084,MG,20.34,29.46
107352,MG,20.34,40.62
106762,MG,20.34,25.44
106342,MG,20.34,26.78
107786,MG,20.34,24.1
107331,MG,20.34,43.53
106793,MG,20.34,46.43
108950,MG,20.34,22.76
108436,MG,20.34,18.75
108432,MG,20.34,20.09
108172,MG,20.34,21.42
107564,MG,20.34,17.41
105708,MG,20.34,34.55
109244,MG,20.34,27.27
108180,MG,20.34,16.07
106462,MG,20.34,25.45
105707,MG,20.34,14.73
106789,MG,20.34,10.71
106362,MG,20.34,13.39
108179,MG,20.34,12.05
109171,MG,20.37,35.71
108493,MG,20.48,35.71
108045,MG,20.59,35.71
106089,MG,20.7,35.71
109212,MG,20.81,35.71
108131,MG,20.92,35.71
108672,MG,21.03,35.71
109017,MG,21.14,35.71
108318,MG,21.25,35.71
107393,MG,21.36,35.71
107370,MG,21.47,35.71
106524,MG,21.58,35.71
106758,MG,21.67,34.82
107456,MG,21.67,26.11
107428,MG,21.67,29.02
106291,MG,21.67,31.92
106507,MG,21.67,30.89
106266,MG,21.67,23.21
107202,MG,21.67,35.43
108506,MG,21.67,28.21
108245,MG,21.67,28.33
105814,MG,21.67,28.45
106271,MG,21.67,28.57
107339,MG,21.67,39.96
109130,MG,21.67,27.86
108746,MG,21.67,27.98
108266,MG,21.67,28.1
106493,MG,21.67,44.5
107547,MG,21.67,27.62
106397,MG,21.67,27.74
106147,MG,21.67,49.03
108371,MG,21.67,27.5
105703,MG,21.67,53.57
109071,MG,21.67,27.15
108855,MG,21.67,27.26
106099,MG,21.67,27.38
108262,MG,21.67,26.91
107514,MG,21.67,27.03
109230,MG,21.67,32.14
108195,MG,21.67,32.14
106531,MG,21.67,26.79
108198,MG,21.67,30.36
106677,MG,21.67,31.25
106477,MG,21.67,30.36
106530,MG,21.67,35.71
109127,MG,21.67,48.76
106624,MG,21.67,26.79
106808,MG,21.67,25.0
105663,MG,21.67,61.82
105900,MG,21.67,25.0
105991,MG,21.67,18.18
108461,MG,21.67,40.0
108453,MG,21.69,35.71
107545,MG,21.8,35.71
106981,MG,21.91,35.71
108676,MG,22.02,34.55
108759,MG,22.03,26.36
106960,MG,22.03,35.74
106759,MG,22.03,21.82
108464,MG,22.03,22.55
106018,MG,22.03,35.44
105809,MG,22.03,23.27
108864,MG,22.03,24.0
106504,MG,22.03,35.14
109066,MG,22.03,24.72
108246,MG,22.03,19.87
106272,MG,22.03,25.45
107207,MG,22.03,34.85
106133,MG,22.03,14.29
107479,MG,22.03,34.55
106194,MG,22.03,14.48
108053,MG,22.03,14.67
109339,MG,22.03,14.85
107221,MG,22.03,15.04
107976,MG,22.03,32.14
105986,MG,22.03,28.57
109224,MG,22.03,15.23
109038,MG,22.03,15.42
106751,MG,22.03,25.45
108856,MG,22.03,15.61
105909,MG,22.03,25.45
109019,MG,22.03,15.8
106671,MG,22.03,25.0
106466,MG,22.03,16.36
108018,MG,22.03,15.98
108850,MG,22.03,16.17
108454,MG,22.13,34.55
108346,MG,22.24,34.55
107668,MG,22.35,34.55
105954,MG,22.46,34.55
106728,MG,22.57,34.55
108438,MG,22.68,34.55
107091,MG,22.79,34.55
105956,MG,22.9,34.55
105769,MG,23.01,34.55
108492,MG,23.12,34.55
107792,MG,23.23,34.55
107089,MG,23.33,36.03
107543,MG,23.33,36.33
108435,MG,23.33,36.62
105932,MG,23.33,36.92
106081,MG,23.33,37.22
106581,MG,23.33,37.51
105898,MG,23.33,19.64
105818,MG,23.33,37.81
106242,MG,23.33,38.1
106977,MG,23.33,38.4
108382,MG,23.33,38.7
108554,MG,23.33,38.99
106536,MG,23.33,39.29
106214,MG,23.33,39.88
106609,MG,23.33,40.48
108621,MG,23.33,41.08
109303,MG,23.33,41.67
107921,MG,23.33,42.26
105935,MG,23.33,39.33
106534,MG,23.33,42.86
108777,MG,23.33,35.81
106169,MG,23.33,18.18
108052,MG,23.33,32.28
108312,MG,23.33,28.76
108841,MG,23.33,21.71
107524,MG,23.33,25.23
106717,MG,23.34,34.55
107973,MG,23.45,34.55
105846,MG,23.56,34.55
107461,MG,23.67,33.93
108507,MG,23.73,18.67
107662,MG,23.73,19.15
106254,MG,23.73,18.18
109333,MG,23.73,18.14
107040,MG,23.73,18.16
106989,MG,23.73,18.17
107159,MG,23.73,30.91
108569,MG,23.73,18.13
106162,MG,23.73,31.59
108862,MG,23.73,18.1
107511,MG,23.73,18.11
106985,MG,23.73,18.12
107346,MG,23.73,32.28
106523,MG,23.73,18.09
107153,MG,23.73,32.97
108925,MG,23.73,18.05
108515,MG,23.73,18.06
108271,MG,23.73,18.07
107200,MG,23.73,33.65
108957,MG,23.73,18.01
108183,MG,23.73,18.03
106655,MG,23.73,18.04
108511,MG,23.73,17.98
107359,MG,23.73,17.99
106699,MG,23.73,18.0
106145,MG,23.73,34.34
108456,MG,23.73,17.94
106087,MG,23.73,17.95
105864,MG,23.73,17.97
107197,MG,23.73,35.02
107036,MG,23.73,17.93
105984,MG,23.73,35.71
107644,MG,23.73,30.36
108918,MG,23.73,17.91
107777,MG,23.73,17.92
106820,MG,23.73,27.27
