,State,Maths %,Science %
171172,AN,21.67,46.43
171124,AN,21.67,26.79
170594,AN,21.67,32.14
170507,AN,21.67,33.93
170619,AN,21.67,39.29
169845,AN,21.67,51.79
170808,AN,21.67,14.29
170287,AN,21.67,32.73
171543,AN,21.67,33.93
171378,AN,21.67,17.86
170490,AN,21.67,34.55
170786,AN,21.67,43.64
170203,AN,21.67,27.27
170567,AN,21.67,32.14
170018,AN,21.67,33.93
170384,AN,21.67,44.64
170446,AN,21.67,37.5
169692,AN,21.67,38.18
170022,AN,21.67,21.43
170430,AN,21.67,41.07
171312,AN,21.67,45.45
170256,AN,21.67,36.36
171176,AN,21.67,50.0
171374,AN,21.67,23.21
171380,AN,21.67,23.21
169789,AN,21.67,47.27
169943,AN,21.67,30.36
169989,AN,22.03,43.64
171792,AN,22.03,25.45
171864,AN,22.03,69.09
170019,AN,22.03,29.09
170520,AN,22.03,30.36
170097,AN,22.03,33.93
171287,AN,22.03,41.07
169944,AN,22.03,18.18
171623,AN,22.03,25.0
171737,AN,22.03,25.0
169579,AN,22.03,29.09
170185,AN,22.03,33.93
171627,AN,22.03,36.36
169863,AN,22.03,49.09
169981,AN,22.03,54.55
170992,AN,22.03,26.79
169453,AN,22.03,28.57
170091,AN,22.03,27.27
170499,AN,22.03,37.5
170573,AN,22.03,37.5
169695,AN,22.03,25.0
171703,AN,22.03,48.21
171267,AN,22.03,19.64
170206,AN,22.03,21.43
170510,AN,22.03,30.91
171283,AN,22.03,21.43
171903,AN,22.03,35.71
169711,AN,22.03,45.45
170529,AN,22.03,51.79
169462,AN,22.03,52.73
169575,AN,22.03,29.09
170259,AN,22.03,33.93
170938,AN,22.03,32.73
171377,AN,22.03,32.73
170437,AN,22.03,47.27
171050,AN,23.33,23.21
170685,AN,23.33,30.36
170792,AN,23.33,45.45
169956,AN,23.33,19.64
169791,AN,23.33,36.36
169533,AN,23.33,23.21
170084,AN,23.33,32.14
169529,AN,23.33,44.64
171861,AN,23.33,55.36
170460,AN,23.33,26.79
170508,AN,23.33,32.73
171857,AN,23.33,41.07
171791,AN,23.33,42.86
169541,AN,23.33,42.86
171853,AN,23.33,53.57
171454,AN,23.33,58.93
170556,AN,23.33,25.0
171575,AN,23.33,26.79
171118,AN,23.33,32.73
170207,AN,23.33,43.64
170302,AN,23.33,21.82
170488,AN,23.33,25.45
170500,AN,23.33,32.73
170463,AN,23.33,39.29
170285,AN,23.33,40.0
169986,AN,23.33,44.64
170639,AN,23.33,30.91
171657,AN,23.33,37.5
170349,AN,23.33,26.79
170386,AN,23.33,44.64
169858,AN,23.33,62.5
170317,AN,23.33,30.91
170511,AN,23.33,36.36
169683,AN,23.33,50.91
170440,AN,23.33,57.14
170993,AN,23.33,47.27
171541,AN,23.33,76.79
170258,AN,23.33,49.09
169777,AN,23.33,38.18
171073,AN,23.73,26.79
170789,AN,23.73,50.91
170917,AN,23.73,17.86
169451,AN,23.73,25.45
169461,AN,23.73,23.64
171333,AN,23.73,25.0
170501,AN,23.73,25.0
170033,AN,23.73,25.45
169784,AN,23.73,32.14
170204,AN,23.73,32.14
170338,AN,23.73,17.86
170133,AN,23.73,21.43
169577,AN,23.73,23.64
170777,AN,23.73,23.64
170988,AN,23.73,39.29
170159,AN,23.73,21.82
170522,AN,23.73,23.21
171577,AN,23.73,32.73
171309,AN,23.73,35.71
171310,AN,23.73,36.18
169605,AN,23.73,52.73
170614,AN,23.73,19.64
170942,AN,23.73,25.45
170288,AN,23.73,35.71
170618,AN,23.73,64.29
170570,AN,23.73,23.64
170779,AN,23.73,25.45
170609,AN,23.73,55.36
171526,AN,23.73,56.36
171281,AN,23.73,19.64
171650,AN,23.73,40.0
170433,AN,23.73,21.43
169788,AN,23.73,30.36
171269,AN,23.73,32.14
170761,AN,23.73,26.79
169528,AN,23.73,39.29
170334,AN,23.73,30.91
170935,AN,23.73,36.36
170574,AN,23.73,36.36
171307,AN,23.73,35.71
169600,AN,23.73,41.82
169534,AN,23.73,47.27
170791,AN,23.73,67.86
169644,AN,23.73,45.45
170031,AN,23.73,50.91
170691,AN,24.7,25.45
169772,AN,25.0,39.29
170592,AN,25.0,23.21
169969,AN,25.0,26.79
169785,AN,25.0,30.91
170655,AN,25.0,12.5
170331,AN,25.0,21.82
171069,AN,25.0,32.73
170119,AN,25.0,23.21
169576,AN,25.0,16.07
170537,AN,25.0,21.82
169456,AN,25.0,33.93
170270,AN,25.0,34.55
170394,AN,25.0,19.64
169688,AN,25.0,36.36
170291,AN,25.0,20.0
171581,AN,25.0,46.43
170016,AN,25.0,26.79
171571,AN,25.0,30.36
170293,AN,25.0,32.73
170187,AN,25.0,35.71
170492,AN,25.0,36.36
171067,AN,25.0,36.36
170496,AN,25.0,38.18
170788,AN,25.0,50.91
170116,AN,25.0,28.57
170502,AN,25.0,34.55
169776,AN,25.0,44.64
171270,AN,25.0,33.92
170369,AN,25.0,23.21
169780,AN,25.0,41.07
171539,AN,25.0,80.36
170448,AN,25.0,30.36
169452,AN,25.0,37.5
170260,AN,25.0,23.21
169818,AN,25.0,69.64
170528,AN,25.0,54.55
169574,AN,25.0,57.14
170096,AN,25.42,29.09
169691,AN,25.42,33.93
169993,AN,25.42,38.18
171053,AN,25.42,25.0
171768,AN,25.42,38.18
171856,AN,25.42,43.64
169846,AN,25.42,51.79
170188,AN,25.42,32.73
170280,AN,25.42,35.71
171045,AN,25.42,16.07
170684,AN,25.42,21.82
170780,AN,25.42,25.45
